Valor nulo: -9999.9	
Fecha (GMT)	Salinidad(psu)
2023 07 25 20	35.32
2023 07 25 21	35.32
2023 07 25 22	35.32
2023 07 25 23	35.32
2023 07 26 00	35.306
2023 07 26 01	35.306
2023 07 26 02	35.306
2023 07 26 03	35.306
2023 07 26 04	35.306
2023 07 26 05	35.306
2023 07 26 06	35.306
2023 07 26 07	35.306
2023 07 26 08	35.306
2023 07 26 09	35.306
2023 07 26 10	35.306
2023 07 26 11	35.306
2023 07 26 12	35.306
2023 07 26 13	35.306
2023 07 26 14	35.306
2023 07 26 15	35.306
2023 07 26 16	35.306
2023 07 26 17	35.306
2023 07 26 18	35.306
2023 07 26 19	35.306
2023 07 26 20	35.306
2023 07 26 21	35.306
2023 07 26 22	35.306
2023 07 26 23	35.306
2023 07 27 00	35.295
2023 07 27 01	35.295
2023 07 27 02	35.295
2023 07 27 03	35.295
2023 07 27 04	35.295
2023 07 27 05	35.295
2023 07 27 06	35.295
2023 07 27 07	35.295
2023 07 27 08	35.295
2023 07 27 09	35.295
2023 07 27 10	35.295
2023 07 27 11	35.295
2023 07 27 12	35.295
2023 07 27 13	35.295
2023 07 27 14	35.295
2023 07 27 15	35.295
2023 07 27 16	35.295
2023 07 27 17	35.295
2023 07 27 18	35.295
2023 07 27 19	35.295
2023 07 27 20	35.295
2023 07 27 21	35.295
2023 07 27 22	35.295
2023 07 27 23	35.295
2023 07 28 00	35.226
2023 07 28 01	35.226
2023 07 28 02	35.226
2023 07 28 03	35.226
2023 07 28 04	35.226
2023 07 28 05	35.226
2023 07 28 06	35.226
2023 07 28 07	35.226
2023 07 28 08	35.226
2023 07 28 09	35.226
2023 07 28 10	35.226
2023 07 28 11	35.226
2023 07 28 12	35.226
2023 07 28 13	35.226
2023 07 28 14	35.226
2023 07 28 15	35.226
2023 07 28 16	35.226
2023 07 28 17	35.226
2023 07 28 18	35.226
2023 07 28 19	35.226
2023 07 28 20	35.226
2023 07 28 21	35.226
2023 07 28 22	35.226
2023 07 28 23	35.226
2023 07 29 00	35.215
2023 07 29 01	35.215
