Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2023 07 13 04	0.086	23.28
2023 07 13 05	0.087	22.16
2023 07 13 06	0.086	21.8
2023 07 13 07	0.079	19.79
2023 07 13 08	0.067	16.29
2023 07 13 09	0.053	10.68
2023 07 13 10	0.043	1.33
2023 07 13 11	0.035	347.12
2023 07 13 12	0.039	343.85
2023 07 13 13	0.053	347.0
2023 07 13 14	0.07	351.86
2023 07 13 15	0.085	355.96
2023 07 13 16	0.092	358.75
2023 07 13 17	0.094	0.0
2023 07 13 18	0.094	1.21
2023 07 13 19	0.095	1.2
2023 07 13 20	0.098	2.33
2023 07 13 21	0.101	3.39
2023 07 13 22	0.102	5.59
2023 07 13 23	0.1	9.74
2023 07 14 00	0.094	16.52
2023 07 14 01	0.085	24.77
2023 07 14 02	0.073	36.08
2023 07 14 03	0.06	49.7
2023 07 14 04	0.052	63.92
2023 07 14 05	0.044	76.9
2023 07 14 06	0.037	85.36
2023 07 14 07	0.031	88.15
2023 07 14 08	0.025	85.42
2023 07 14 09	0.02	73.3
2023 07 14 10	0.02	54.78
2023 07 14 11	0.026	40.36
2023 07 14 12	0.035	34.59
2023 07 14 13	0.043	35.53
2023 07 14 14	0.055	36.86
2023 07 14 15	0.071	38.15
2023 07 14 16	0.088	38.55
2023 07 14 17	0.102	40.66
2023 07 14 18	0.116	42.9
2023 07 14 19	0.124	43.69
2023 07 14 20	0.127	44.68
2023 07 14 21	0.129	45.31
2023 07 14 22	0.129	45.93
2023 07 14 23	0.13	45.92
2023 07 15 00	0.134	44.39
2023 07 15 01	0.136	41.73
2023 07 15 02	0.138	37.94
2023 07 15 03	0.138	34.14
2023 07 15 04	0.138	30.46
2023 07 15 05	0.136	27.5
2023 07 15 06	0.131	25.59
2023 07 15 07	0.124	25.12
2023 07 15 08	0.116	24.8
2023 07 15 09	0.11	27.03
2023 07 15 10	0.103	31.53
2023 07 15 11	0.095	39.88
2023 07 15 12	0.09	46.78
2023 07 15 13	0.091	46.76
2023 07 15 14	0.094	43.29
2023 07 15 15	0.099	38.48
2023 07 15 16	0.105	34.14
2023 07 15 17	0.107	32.06
2023 07 15 18	0.105	30.68
2023 07 15 19	0.102	29.81
2023 07 15 20	0.099	30.17
